Problem,Problem Description,Problem Type,Data Structure Recommendation,Algorithm Recommendation
Snakes and Ladders: The Quickest Way Up,"Find the shortest path to reach the final square of a board, considering ladders and snakes as shortcuts and obstacles, respectively.",Shortest Path,1D Array,BFS
The Coin Change Problem,Determine the number of ways to make change for a value using a given set of coins.,Dynamic Programming,1D Array,Dynamic Programming
Sam and substrings,Find the sum of all possible substrings of a number represented as a string.,Dynamic Programming,1D Array,Dynamic Programming
Construct the Array,Determine the number of valid arrays of length n given a constraint on maximum consecutive elements.,Dynamic Programming,1D Array,Dynamic Programming
Organizing Containers of Balls,Determine if balls can be reorganized between containers to have each container holding only balls of one type.,Matrix Manipulation,2D Array,Greedy Approach
The Grid Search,Find a given 2D pattern within a larger 2D grid.,Pattern,2D Array,KMP
The Bomberman Game,Simulate the Bomberman game and return the grid configuration after a specified number of seconds.,Matrix,2D Array,"BFS, DFS"
Ema's Supercomputer,Find two non-overlapping plus shapes of maximum area on a grid.,Traversal,2D Array,Greedy
Common Child,Find the length of the longest common child string between two given strings.,String Analysis,2D Array,Dynamic Programming
KnightL on a Chessboard,"Calculate the minimum number of moves a knight must make to reach a target square on an n x n board, for different L-shaped moves.",Graph Traversal,2D Array,BFS
Count Luck,Determine if a person made the right number of turns (decision points) to reach a destination in a maze.,Graph Traversal,2D Array,"BFS, DFS"
Connected Cells in a Grid,Find the size of the largest region of connected cells in a binary matrix.,Graph Traversal,2D Array,"BFS, DFS"
Red Knight's Shortest Path,Find the shortest path a knight can take to reach a destination on a chessboard with a given movement pattern.,Graph Traversal,2D Array,BFS
Sherlock and Cost,"Maximize the sum of absolute differences between adjacent elements by choosing values from [1, B[i]].",Dynamic Programming,2D Array,Dynamic Programming
Flipping the Matrix,Maximize the sum of the upper-left quadrant of a matrix by flipping rows and columns.,Matrix Manipulation,2D Array,Greedy
Abbreviation,Determine if string a can be transformed into string b by deleting and capitalizing letters.,Dynamic Programming,2D Array,Dynamic Programming
Substring Diff,Find the longest substring that differs in no more than k positions between two given strings.,"Sliding Window, Dynamic Programming",2D Array,"Sliding Window, Dynamic Programming"
Mr K Marsh,Find the largest rectangle in a marshy area defined by a matrix.,Dynamic Programming,2D Array,Dynamic Programming
LCS Returns,"Given multiple strings, find the Longest Common Subsequence (LCS) of these strings.",Dynamic Programming,2D Array,Dynamic Programming
Knapsack,Solve the 0/1 Knapsack problem by selecting items to maximize value without exceeding a weight limit.,Dynamic Programming,2D Array,0/1 Knapsack Dynamic Programming
Grid Walking,"Count the number of ways to walk on a grid of given dimensions, without exceeding the boundary, in a given number of steps.",Dynamic Programming,2D Array,Dynamic Programming
Play with Words,Split a given string into two palindromes such that the product of their lengths is maximized.,Dynamic Programming,2D Array,"Greedy, Dynamic Programming"
Crossword Puzzle,"Fill a crossword puzzle with words provided in a list, ensuring no conflicts.",Backtracking,2D Array,"Backtracking, DFS"
Simplified Chess Engine,Determine if a chess position can reach a specific state within a limited number of moves.,"Graph, Game Theory",2D Array,"Minimax, Backtracking"
Common Child,Find the longest string that is a common subsequence of two strings.,"String, DP",2D Array,Dynamic Programming
Digits Square Board,Find the minimum number of moves to transform a square grid into the desired state.,Backtracking,2D Array,"DFS, Backtracking"
